room	master	slave
1	5CB1502V2N	5CB1502TXG
2	4CZ1330MNW	4CZ1330MZ0
3	4CZ1330MPC	4CZ1310K6D
4	4CZ1330MPG	4CZ1300NZ9
5	4CZ1310K4D	4CZ1310K4P
6	4CZ1330MPF	4CZ1330N03
7	4CZ1330N1S	4CZ12711RR
8	4CZ1310K39	4CZ1310K40
9	4CZ1330MXW	4CZ1330MQL
10	5CB1502V3Y	5CB1502V3Y
11	4CZ1300NYR	4CZ1330MP0
12	4CZ1310K4K	4CZ1310K4N
13	4CZ1310K69	4CZ12711YH
14	4CZ1330MZT	4CZ1330MNH
15	4CZ1330MMS	4CZ1291399
16	4CZ1310K42	4CZ1310K5L
17	4CZ1310K49	4CZ12711MG
18	5CB1502TRW	4CZ13503TF
19	4CZ12711FH	5CB1502TQF
20	4CZ12711T0	4CZ12813DY
21	5CB1502V3M	4CZ1310K4J
22	5CB1502V36	4CZ1310K5P
		
spare	4CZ1330MYN	
		
		
sneak1	na75k8b5	
sneak2	na75683m	
		
video1	cz232904jm	
video2	cz232901h4	
video3	cz232901hj	
		
Screen from Wouter	96LMTF047580	
